prod,state,min_1_quant,max_1_quant
Ham,PA,23,993
Fish,CT,1,1000
Apple,CT,1,999
Jelly,NJ,3,994
Ham,NY,5,999
Fish,NJ,3,999
Dates,PA,1,998
Butter,NJ,2,999
Jelly,PA,3,999
Cherry,CT,2,997
Apple,NJ,8,1000
Butter,PA,3,995
Eggs,CT,1,997
Cherry,NY,1,1000
Dates,CT,4,999
Dates,NJ,1,997
Grapes,CT,5,998
Ham,CT,2,996
Grapes,PA,1,998
Ham,NJ,1,997
Ice,CT,8,984
Jelly,CT,1,999
Ice,NJ,3,997
Apple,PA,1,992
Eggs,PA,7,1000
Jelly,NY,3,1000
Eggs,NJ,4,999
Ice,PA,1,996
Butter,CT,1,990
Cherry,PA,6,999
Dates,NY,5,1000
Ice,NY,5,998
Grapes,NY,8,998
Grapes,NJ,1,1000
Butter,NY,2,993
Apple,NY,31,989
Cherry,NJ,4,999
Eggs,NY,17,998
Fish,PA,21,1000
Fish,NY,2,990
